Movie,Budget,WorldGross,RottenTomatoes,AudienceScore,Profitability
The Sorcerer's Apprentice,150.0,215.28,42.0,57.0,143.52
The Switch,19.0,49.831,52.0,44.0,262.27
The Tourist,100.0,278.346,20.0,44.0,278.35
The Town,37.0,154.025,94.0,83.0,416.28
The Twilight Saga: Eclipse,68.0,698.489,50.0,74.0,1027.19
The Wolfman,150.0,139.79,33.0,38.0,93.19
Tooth Fairy,48.0,112.46,16.0,46.0,234.29
Toy Story 3,200.0,1063.16,99.0,91.0,531.58
Tron: Legacy,170.0,400.062,50.0,67.0,235.33
True Grit,38.0,252.273,96.0,86.0,663.88
Unstoppable,95.0,167.802,86.0,73.0,176.63
Valentine's Day,52.0,216.485,17.0,54.0,416.32
Vampires Suck,20.0,80.546,4.0,32.0,402.73
Wall Street: Money Never Sleeps,70.0,134.743,54.0,43.0,192.49
Why Did I Get Married Too?,20.0,60.67,27.0,67.0,303.35
Yogi Bear,80.0,201.584,14.0,36.0,251.98
You Again,20.0,32.003,18.0,45.0,160.02
You Will Meet a Tall Dark Stranger,22.0,34.267,43.0,35.0,155.76
Youth in Revolt,18.0,19.649,68.0,52.0,109.16
30 Minutes or Less,28.0,40.55,43.0,48.0,144.81
50/50,8.0,39.19,93.0,93.0,489.84
A Dangerous Method,20.0,27.46,79.0,89.0,137.31
A Very Harold and Kumar Christmas,19.0,35.39,72.0,71.0,186.25
Abduction,35.0,82.09,4.0,46.0,234.53
Anonymous,30.0,15.39,46.0,66.0,51.31
Another Earth,0.2,1.77,63.0,74.0,885.5
Apollo 18,5.0,25.56,23.0,31.0,511.24
Arthur,40.0,45.74,26.0,49.0,114.34
Arthur Christmas,150.0,147.41,92.0,82.0,98.27
Average,57.0,175.0,55.0,62.0,306.6
Bad Teacher,20.0,216.2,44.0,38.0,1080.98
Battle: Los Angeles,70.0,211.82,35.0,50.0,302.6
Beastly,17.0,43.17,19.0,50.0,253.91
Beginners,3.2,14.31,84.0,80.0,447.19
Bridesmaids,32.5,288.38,90.0,77.0,887.33
Captain America: The First Avenger,140.0,370.57,78.0,75.0,264.69
Cars 2,200.0,559.85,38.0,56.0,279.93
Cedar Rapids,10.0,6.86,86.0,61.0,68.61
Colombiana,40.0,60.97,28.0,55.0,152.41
Conan the Barbarian,90.0,48.8,22.0,34.0,54.22
Contagion,60.0,135.46,84.0,63.0,225.76
Cowboys and Aliens,163.0,174.82,44.0,50.0,107.25
"Crazy, Stupid, Love",50.0,142.85,78.0,81.0,285.7
Diary of a Wimpy Kid 2: Rodrick Rules,21.0,72.42,47.0,63.0,344.84
Dolphin Tale,37.0,95.41,84.0,81.0,257.86
Don't Be Afraid Of The Dark,25.0,36.99,59.0,37.0,147.97
Dream House,50.0,38.5,7.0,38.0,77.0
Drive,15.0,76.17,93.0,79.0,507.83
Drive Angry,45.0,28.93,45.0,38.0,64.29
Dylan Dog: Dead of Night,20.0,4.63,6.0,28.0,23.17
Everything Must Go,5.0,2.71,74.0,53.0,54.22
Extremely Loud and Incredibly Close,40.0,55.247,47.0,62.0,138.12
Fast Five,125.0,626.13,78.0,83.0,500.9
Final Destination 5,40.0,157.89,61.0,56.0,394.72
Footloose,24.0,63.54,71.0,71.0,264.76
Friends With Benefits,35.0,149.54,71.0,68.0,427.26
Fright Night,30.0,41.0,75.0,68.0,136.67
Gnomeo and Juliet,36.0,193.97,56.0,52.0,538.8
Green Lantern,200.0,219.85,27.0,48.0,109.93
Hall Pass,36.0,83.16,35.0,44.0,231.0
Hanna,30.0,63.78,71.0,67.0,212.6
Happy Feet 2,135.0,150.41,41.0,59.0,111.41
Harry Potter and the Deathly Hallows Part 2,125.0,1341.51,96.0,92.0,1073.21
Hop,63.0,183.95,26.0,50.0,291.99
Horrible Bosses,35.0,209.64,69.0,72.0,598.97
Hugo,150.0,185.769,93.0,84.0,123.85
I Am Number Four,60.0,149.88,32.0,57.0,249.8
Immortals,75.0,226.9,36.0,59.0,302.54
In Time,40.0,173.93,38.0,55.0,434.83
Insidious,1.5,97.01,67.0,65.0,6467.27
J.Edgar,35.0,84.61,42.0,84.0,241.73
Jack and Jill,79.0,149.68,4.0,59.0,189.47
Johnny English Reborn,45.0,160.08,38.0,55.0,355.73
Just Go With It,80.0,214.95,19.0,63.0,268.68
Killer Elite,70.0,56.38,25.0,48.0,80.55
Kung Fu Panda 2,150.0,665.69,82.0,80.0,443.79
Larry Crowne,30.0,72.01,34.0,46.0,240.03
Limitless,27.0,161.85,69.0,73.0,599.44
Machine Gun Preacher,30.0,1.1,29.0,71.0,3.68
Margin Call,3.5,19.5,86.0,73.0,557.26
Mars Needs Moms,150.0,38.99,36.0,43.0,25.99
Midnight in Paris,17.0,151.12,93.0,84.0,888.94
Mission Impossible 4,145.0,694.71,93.0,86.0,479.11
Moneyball,50.0,110.2,95.0,89.0,220.4
Monte Carlo,20.0,39.67,38.0,50.0,198.33
Mr. Popper's Penguins,55.0,187.36,47.0,54.0,340.66
My Week with Marilyn,10.0,35.06,83.0,84.0,350.57
New Year's Eve,56.0,142.04,8.0,48.0,253.64
No Strings Attached,25.0,149.23,49.0,57.0,596.91
One Day,15.0,59.39,37.0,54.0,395.92
Our Idiot Brother,5.0,24.82,68.0,79.0,496.32
Paranormal Activity 3,5.0,207.04,68.0,58.0,4140.78
Paul,40.0,97.98,72.0,70.0,244.96
Pirates of the Caribbean:On Stranger Tides,250.0,1045.71,34.0,61.0,418.28
Priest,60.0,78.31,17.0,37.0,130.51
Puss In Boots,130.0,554.99,83.0,76.0,426.91
Rango,135.0,245.72,88.0,69.0,182.02
Real Steel,110.0,299.27,58.0,81.0,272.06
Red Riding Hood,42.0,89.16,11.0,41.0,212.29
Red State,4.0,1.1,57.0,59.0,27.6
Rio,90.0,484.63,71.0,73.0,538.48
Rise of the Planet of the Apes,93.0,481.74,83.0,87.0,518.0
Sanctum,30.0,108.61,30.0,39.0,362.03
Scream 4,40.0,97.14,58.0,57.0,242.84
Season Of The Witch,40.0,91.63,10.0,32.0,229.07
Shame,6.5,16.874,80.0,80.0,259.6
Shark Night 3D,25.0,40.14,16.0,25.0,160.54
Sherlock Holmes 2,125.0,545.45,60.0,79.0,436.36
Soul Surfer,18.0,47.09,46.0,79.0,261.6
Source Code,32.0,147.33,92.0,81.0,460.41
Spy Kids: All The Time in the World,27.0,85.56,22.0,40.0,316.9
Sucker Punch,82.0,89.79,23.0,48.0,109.5
Super 8,50.0,260.1,82.0,78.0,520.19
Take Me Home Tonight,25.0,6.93,28.0,46.0,27.71
Take Shelter,5.0,3.13,92.0,85.0,62.52
The Adjustment Bureau,50.2,127.87,72.0,67.0,254.72
The Adventures of Tintin,130.0,373.993,74.0,78.0,287.69
The Artist,16.0,133.432,97.0,91.0,833.95
The Beaver,21.0,6.37,62.0,57.0,30.33
The Big Year,41.0,7.45,38.0,62.0,18.17
The Change Up,52.0,75.45,24.0,53.0,145.09
The Company Men,15.0,4.88,66.0,55.0,32.55
The Conspirator,25.0,15.48,56.0,65.0,61.91
The Debt,20.0,45.64,76.0,70.0,228.18
The Descendants,20.0,177.24,89.0,88.0,886.22
The Dilemma,70.0,69.72,23.0,31.0,99.6
The Eagle,25.0,27.12,39.0,43.0,108.48
The Girl With The Dragon Tattoo,90.0,232.161,87.0,89.0,257.96
The Green Hornet,120.0,227.82,44.0,47.0,189.85
The Hangover Part II,80.0,586.76,35.0,58.0,733.46
The Help,25.0,216.64,75.0,91.0,866.56
The Ides of March,12.5,75.99,85.0,76.0,607.94
The Iron Lady,13.0,114.955,53.0,54.0,884.27
The Lincoln Lawyer,40.0,75.01,84.0,82.0,187.52
The Mechanic,40.0,51.07,53.0,52.0,127.68
The Muppets,45.0,165.18,97.0,87.0,367.08
The Rite,37.0,96.05,20.0,43.0,259.59
The Roommate,16.0,40.49,4.0,29.0,253.08
The Rum Diary,45.0,23.95,50.0,48.0,53.21
The Sitter,25.0,34.941,22.0,43.0,139.76
The Smurfs,110.0,563.75,23.0,50.0,512.5
The Thing,38.0,27.43,36.0,52.0,72.18
The Three Musketeers,75.0,132.27,24.0,48.0,176.37
The Tree Of Life,32.0,54.3,84.0,61.0,169.7
Thor,150.0,449.32,77.0,80.0,299.55
Tinker Tailor Soldier Spy,21.0,80.63,83.0,68.0,383.95
Tower Heist,75.0,152.92,68.0,61.0,203.9
Transformers: Dark of the Moon,195.0,1123.79,35.0,67.0,576.3
Twilight: Breaking Dawn,110.0,712.17,26.0,68.0,647.43
Unknown,30.0,130.79,55.0,57.0,435.95
War Horse,66.0,177.584,77.0,73.0,269.07
Warrior,25.0,23.06,83.0,93.0,92.23
Water For Elephants,38.0,117.09,60.0,72.0,308.14
We Bought a Zoo,50.0,120.081,63.0,79.0,240.16
What's Your Number,20.0,30.43,24.0,50.0,152.13
Winnie The Pooh,30.0,33.15,91.0,79.0,110.51
X-Men: First Class,160.0,353.62,87.0,88.0,221.01
Your Highness,49.9,24.86,26.0,36.0,49.81
Zookeeper,80.0,169.85,14.0,42.0,212.31
21 Jump Street,42.0,201.59,85.0,82.0,479.97
Abraham Lincoln: Vampire Hunter,69.0,116.47,35.0,51.0,168.8
American Reunion,50.0,234.99,44.0,63.0,469.98
Anna Karenina,31.0,68.93,63.0,51.0,222.35
Arbitrage,12.0,35.49,87.0,63.0,295.71
Argo,45.0,232.33,96.0,90.0,522.08
Battleship,209.0,303.03,34.0,55.0,144.99
Beasts of the Southern Wild,2.0,12.8,86.0,76.0,710.87
Big Miracle,40.0,24.72,74.0,64.0,61.8
Brave,185.0,538.98,78.0,76.0,291.34
Chernobyl Diaries,1.0,37.16,19.0,29.0,3715.76
Chronicle (2012),12.0,126.64,85.0,71.0,1055.3
Cloud Atlas,102.0,130.48,66.0,67.0,127.92
Contraband,25.0,96.26,51.0,58.0,385.05
Dark Shadows,150.0,245.53,38.0,46.0,163.68
Diary of a Wimpy Kid: Dog Days,22.0,77.11,51.0,64.0,350.51
Django Unchained,100.0,425.37,88.0,92.0,425.37
Dr. Seuss' The Lorax,70.0,348.84,54.0,64.0,498.34
Dredd,50.0,35.63,78.0,72.0,71.25
End of Watch,7.0,48.13,85.0,86.0,687.52
Flight,31.0,161.77,78.0,75.0,521.85
Frankenweenie,39.0,81.49,87.0,70.0,208.95
Ghost Rider: Spirit of Vengeance,57.0,132.56,17.0,32.0,232.57
Haywire,23.0,33.37,80.0,40.0,145.1
Hope Springs,30.0,114.28,74.0,56.0,380.94
Hotel Transylvania,85.0,358.38,45.0,72.0,421.62
House at the End of The Street,10.0,39.46,10.0,42.0,394.62
Ice Age: Continental Drift,95.0,877.24,37.0,63.0,923.42
Jack Reacher,60.0,218.34,61.0,67.0,363.9
John Carter,250.0,284.14,51.0,60.0,113.66
Journey 2: The Mysterious Island,79.0,335.26,52.0,60.0,424.38
Katy Perry: Part of Me,12.0,32.73,78.0,73.0,272.72
Killing Them Softly,15.0,37.93,75.0,44.0,252.87
Lawless,26.0,53.68,67.0,75.0,206.45
Les Miserables (2012),61.0,441.81,70.0,79.0,724.28
Life of Pi,120.0,609.02,87.0,85.0,507.51
Lincoln,65.0,275.29,90.0,81.0,423.53
Looper,30.0,176.51,93.0,82.0,588.36
Madagascar 3: Europe's Most Wanted,145.0,746.92,79.0,73.0,515.12
Magic Mike,7.0,167.22,80.0,61.0,2388.88
Man on a Ledge,42.0,46.22,32.0,52.0,110.05
Marvel's The Avengers,220.0,1518.59,92.0,91.0,690.27
MIB 3,225.0,624.03,70.0,71.0,277.35
Mirror Mirror,85.0,166.17,49.0,45.0,195.5
Moonrise Kingdom,16.0,22.75,94.0,86.0,142.19
Paranormal Activity 4,5.0,142.84,24.0,36.0,2856.78
ParaNorman,60.0,107.14,87.0,72.0,178.57
Parental Guidance,25.0,119.77,18.0,61.0,479.09
Pitch Perfect,17.0,113.04,81.0,83.0,664.95
Premium Rush,35.0,31.08,76.0,60.0,88.81
Prometheus,130.0,403.35,74.0,69.0,310.27
Red Dawn (2012),65.0,44.81,12.0,52.0,68.93
Red Tails,58.0,50.37,40.0,58.0,86.84
Resident Evil: Retribution,65.0,240.16,31.0,51.0,369.48
Rise of the Guardians,145.0,306.94,74.0,81.0,211.68
Rock of Ages,75.0,59.42,41.0,55.0,79.22
Safe (2012),30.0,40.35,57.0,60.0,134.49
Safe House,85.0,208.08,53.0,64.0,244.8
Salmon Fishing in the Yemen,15.0,34.56,67.0,64.0,238.38
Savages (2012),45.0,82.97,51.0,55.0,184.37
Seven Psychopaths,15.0,19.42,83.0,71.0,129.48
Silver Linings Playbook,21.0,236.41,92.0,86.0,1125.77
Sinister,3.0,77.71,63.0,61.0,2590.41
Skyfall,200.0,1108.56,92.0,86.0,554.28
Snow White and the Huntsman,170.0,396.59,48.0,52.0,233.29
Sparkle (2012),14.0,24.64,57.0,65.0,175.98
Step Up Revolution,33.0,140.47,42.0,69.0,425.67
Taken 2,45.0,376.14,21.0,54.0,835.87
Ted,50.0,549.37,68.0,74.0,1098.74
That's My Boy,70.0,57.72,20.0,53.0,82.46
The Amazing Spider-Man,230.0,752.22,73.0,77.0,327.05
The Best Exotic Marigold Hotel,10.0,136.84,78.0,79.0,1368.36
The Bourne Legacy,125.0,276.14,56.0,58.0,220.92
The Cabin in the Woods,30.0,66.49,92.0,73.0,221.62
The Dark Knight Rises,250.0,1084.44,88.0,90.0,433.78
The Devil Inside,1.0,101.76,6.0,22.0,10175.85
The Dictator,65.0,179.38,57.0,45.0,275.97
The Expendables 2,100.0,305.43,65.0,68.0,305.43
The Five-Year Engagement,30.0,53.91,63.0,52.0,179.7
The Grey,25.0,77.28,79.0,61.0,309.11
The Guilt Trip,40.0,41.86,38.0,40.0,104.65
The Hobbit: An Unexpected Journey,200.0,1017.0,65.0,83.0,508.5
The Hunger Games,78.0,691.25,84.0,81.0,886.22
The Impossible,30.0,180.27,81.0,85.0,600.91
The Lucky One,25.0,99.36,20.0,68.0,397.43
The Master,32.0,28.26,85.0,59.0,88.31
The Perks of Being a Wallflower,13.0,33.38,85.0,89.0,256.8
The Pirates! Band of Misfits,55.0,123.05,86.0,60.0,223.73
The Possession,14.0,85.45,40.0,49.0,610.33
The Three Stooges,30.0,54.82,52.0,49.0,182.73
The Twilight Saga: Breaking Dawn Part 2,120.0,829.69,48.0,71.0,691.4
The Vow,30.0,196.11,29.0,63.0,653.72
The Watch,68.0,68.27,17.0,40.0,100.39
The Woman in Black,17.0,127.73,66.0,55.0,751.36
This Is 40,35.0,88.06,51.0,51.0,251.6
Total Recall (2012),125.0,198.47,30.0,47.0,158.77
Underworld Awakening,70.0,160.11,26.0,62.0,228.73
What to Expect When You're Expecting,40.0,84.38,22.0,48.0,210.96
Wrath of the Titans,150.0,305.27,25.0,49.0,203.51
Wreck-It Ralph,165.0,471.22,86.0,87.0,285.59
Zero Dark Thirty,40.0,132.82,93.0,80.0,332.05
The Fifth Estate,28.0,8.56,37.0,40.0,30.55
Parker,35.0,46.22,41.0,49.0,132.05
The To-Do List,1.5,3.57,52.0,48.0,237.75
Grown Ups 2,80.0,246.98,7.0,55.0,308.73
After Earth,130.0,243.84,11.0,38.0,187.57
Captain Phillips,55.0,216.49,93.0,92.0,393.61
Escape Plan,50.0,133.38,49.0,59.0,266.75
Prisoners,46.0,122.13,82.0,88.0,265.49
Stoker,12.0,12.08,68.0,61.0,100.65
Walking with Dinosaurs,80.0,113.19,25.0,41.0,141.49
Love is All You Need,5.5,10.02,74.0,60.0,182.13
The Kings of Summer,2.0,1.32,76.0,77.0,500.85
Iron Man 3,200.0,1215.44,78.0,80.0,607.72
Despicable Me 2,76.0,964.76,74.0,85.0,1269.42
THG: Catching Fire,130.0,855.9,90.0,92.0,658.38
The Desolation of Smaug,225.0,847.33,75.0,85.0,376.59
Frozen,150.0,810.4,89.0,89.0,540.27
Fast & Furious 6,160.0,788.68,69.0,84.0,492.92
Monsters University,200.0,743.56,78.0,83.0,371.78
Gravity,100.0,688.51,97.0,85.0,688.51
Man of Steel,225.0,668.05,55.0,76.0,296.91
Thor: The Dark World,170.0,632.91,65.0,83.0,372.3
The Croods,135.0,587.2,70.0,79.0,434.97
World War Z,190.0,540.01,67.0,73.0,284.21
Oz The Great & Powerful,215.0,493.31,59.0,57.0,229.45
Star Trek Into Darkness,190.0,467.37,87.0,90.0,245.98
The Wolverine,120.0,414.83,69.0,70.0,345.69
Pacific Rim,190.0,411.0,71.0,78.0,216.32
G.I. Joe: Retaliation,130.0,375.74,28.0,49.0,289.03
The Hangover Part III,103.0,362.0,19.0,45.0,351.46
Now You See Me,75.0,351.72,50.0,71.0,468.97
The Great Gatsby,105.0,351.04,49.0,68.0,334.32
The Smurfs 2,105.0,347.55,14.0,58.0,331.0
The Conjuring,20.0,318.0,86.0,83.0,1590.0
A Good Day to Die Hard,92.0,304.65,14.0,42.0,331.15
Oblivion,120.0,286.17,53.0,61.0,238.47
Elysium,115.0,286.14,68.0,60.0,248.82
Turbo,135.0,282.57,67.0,67.0,209.31
We're the Millers,37.0,269.99,47.0,73.0,729.71
Epic,100.0,268.43,64.0,66.0,268.43
The Lone Ranger,215.0,260.5,31.0,55.0,121.16
Cloudy with a Chance of Meatballs 2,78.0,257.77,70.0,66.0,330.48
The Heat,43.0,229.93,66.0,73.0,534.72
Hansel & Gretel,50.0,225.7,15.0,54.0,451.41
Planes,50.0,219.79,26.0,51.0,439.58
White House Down,150.0,205.37,50.0,63.0,136.91
Percy Jackson: Sea of Monsters,90.0,199.85,40.0,58.0,222.05
Jack the Giant Slayer,195.0,197.69,52.0,56.0,101.38
The Wolf of Wall Street,100.0,175.61,77.0,83.0,175.61
Identity Thief,35.0,173.97,19.0,55.0,497.04
The Secret Life of Walter Mitty,90.0,169.04,48.0,76.0,187.83
Lee Daniels' The Butler,30.0,167.71,73.0,80.0,559.03
Anchorman 2,50.0,165.5,75.0,62.0,331.01
American Hustle,40.0,162.4,93.0,79.0,406.0
Insidious Chapter 2,5.0,161.5,37.0,60.0,3230.06
Olympus Has Fallen,70.0,161.03,48.0,68.0,230.04
Bad Grandpa,15.0,149.0,61.0,66.0,993.35
Mama,15.0,146.43,66.0,57.0,976.19
Red 2,84.0,142.08,42.0,64.0,169.14
2 Guns,61.0,131.94,64.0,68.0,216.3
12 years a slave,20.0,128.18,96.0,92.0,640.9
This is the End,32.0,126.04,83.0,73.0,393.88
47 Ronin,175.0,121.76,12.0,56.0,69.57
Last Vegas,28.0,117.74,47.0,62.0,420.51
Warm Bodies,35.0,116.98,80.0,74.0,334.23
Ender's Game,110.0,112.23,61.0,72.0,102.03
Gangster Squad,60.0,105.2,32.0,59.0,175.33
Riddick,38.0,98.34,58.0,56.0,258.78
Evil Dead,17.0,97.54,62.0,64.0,573.78
42,40.0,95.02,78.0,86.0,237.55
Blue Jasmine,18.0,94.8,91.0,81.0,526.68
The Internship,58.0,93.49,34.0,54.0,161.19
Saving Mr. Banks,35.0,91.26,81.0,89.0,260.74
Free Birds,55.0,90.84,18.0,47.0,165.16
The Mortal Instruments: City of Bones,60.0,90.57,12.0,61.0,150.94
Rush,38.0,90.25,89.0,92.0,237.49
The Purge,3.0,89.33,37.0,37.0,2977.62
Pain and Gain,26.0,86.18,49.0,48.0,331.44
Philomena,12.0,84.87,92.0,91.0,707.23
Carrie,30.0,84.03,49.0,48.0,280.1
Scary Movie 5,20.0,78.38,4.0,41.0,391.89
R.I.P.D.,130.0,78.32,13.0,39.0,60.25
The Best Man Holiday,17.0,71.63,67.0,90.0,421.32
Safe Haven,28.0,71.35,12.0,68.0,254.82
The Counselor,25.0,70.24,34.0,25.0,280.95
The Call,13.0,68.57,43.0,66.0,527.48
Side Effects,30.0,63.37,84.0,71.0,211.24
Runner Runner,30.0,62.68,9.0,34.0,208.92
Beautiful Creatures,60.0,60.05,37.0,34.0,100.09
A Haunted House,2.5,59.94,10.0,54.0,2397.67
Kick-Ass 2,28.0,59.56,29.0,62.0,212.7
Quartet,11.0,59.52,80.0,65.0,541.09
The Last Stand,45.0,48.33,60.0,55.0,107.4
The Host,40.0,48.23,8.0,50.0,120.57
The World's End,20.0,46.09,89.0,73.0,230.45
21 and Over,13.0,45.58,28.0,49.0,350.63
Snitch,15.0,42.93,56.0,63.0,286.2
Jobs,12.0,35.93,27.0,85.0,299.43
The Place Beyond the Pines,15.0,35.49,81.0,75.0,236.57
August: Osage County,25.0,35.46,65.0,72.0,141.82
Spring Breakers,5.0,31.72,65.0,39.0,634.49
Homefront,22.0,31.36,40.0,66.0,142.54
Delivery Man,26.0,31.33,38.0,52.0,120.5
Dallas Buyers Club,5.0,30.85,94.0,92.0,616.9
Don Jon,6.0,30.45,81.0,64.0,507.51
Her,23.0,30.37,94.0,85.0,132.02
Movie 43,6.0,29.93,4.0,25.0,498.77
Grudge Match,40.0,29.24,28.0,57.0,73.09
Mandela: Long Walk to Freedom,35.0,27.26,58.0,73.0,77.89
Dark Skies,3.5,26.42,39.0,50.0,754.91
Enough Said,8.0,24.42,96.0,78.0,305.23
Trance,20.0,24.26,68.0,64.0,121.31
Inside Llewyn Davis,11.0,23.21,94.0,76.0,210.97
"The Way, Way Back",4.6,23.2,85.0,85.0,504.32
Baggage Claim,8.5,22.46,14.0,56.0,264.19
The Big Wedding,35.0,21.82,7.0,42.0,62.34
The Sapphires,9.0,20.42,91.0,76.0,226.93
Broken City,35.0,19.7,28.0,42.0,56.29
The Bling Ring,8.0,19.15,60.0,34.0,239.32
Admission,13.0,18.01,38.0,34.0,138.52
Fruitvale Station,1.0,17.03,94.0,92.0,1702.6
Battle of the Year,20.0,16.55,6.0,52.0,82.75
The Last Exorcism Part II,5.0,15.18,16.0,27.0,303.59
Nebraska,12.0,11.72,92.0,86.0,97.67
Out of the Furnace,22.0,11.33,52.0,53.0,51.5
Before Midnight,3.0,11.18,98.0,82.0,372.55
Getaway,18.0,10.5,2.0,36.0,58.34
Black Nativity,17.5,7.45,48.0,57.0,42.6
Blue Is the Warmest Color,5.5,7.37,90.0,87.0,134.01
All Is Lost,8.5,6.26,93.0,66.0,73.68
The Company You Keep,2.0,5.13,55.0,45.0,256.65
Oldboy,30.0,4.86,43.0,37.0,16.2
Frances Ha,7.0,4.07,93.0,78.0,58.14
Stand Up Guys,1.8,3.31,37.0,47.0,183.89
In a World,1.0,2.96,92.0,74.0,331.0
The East,6.5,2.4,74.0,66.0,36.95
Renoir,6.0,2.29,68.0,57.0,39.06
Austenland,4.9,2.16,30.0,60.0,44.06
The Iceman,10.0,1.97,66.0,63.0,19.69
Girl Most Likely,60.0,1.38,20.0,35.0,2.3
The Butler,30.0,167.74,73.0,79.0,559.14
The Call,13.0,68.57,43.0,66.0,527.48
John Dies at the End,1.0,0.14,61.0,53.0,14.2
Lovelace,10.0,1.52,55.0,37.0,15.25
